Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,369.10 ,369.52 ,362.90 ,369.14 ,367.7952576,32063300
2023-12-05,366.45 ,373.08 ,365.62 ,372.52 ,371.1629028,23065000
2023-12-06,373.54 ,374.18 ,368.03 ,368.80 ,367.4564514,21182100
2023-12-07,368.23 ,371.45 ,366.32 ,370.95 ,369.5986328,23118900
2023-12-08,369.20 ,374.46 ,368.23 ,374.23 ,372.8666992,20144800
2023-12-11,368.48 ,371.60 ,366.10 ,371.30 ,369.9473267,27708800
2023-12-12,370.85 ,374.42 ,370.46 ,374.38 ,373.0161438,24838300
2023-12-13,376.02 ,377.64 ,370.77 ,374.37 ,373.0061646,30955500
2023-12-14,373.31 ,373.76 ,364.13 ,365.93 ,364.5969238,43277500
2023-12-15,366.85 ,372.40 ,366.28 ,370.73 ,369.3794556,78478200
2023-12-18,369.45 ,373.00 ,368.68 ,372.65 ,371.2924194,21802900
2023-12-19,371.49 ,373.26 ,369.84 ,373.26 ,371.900238,20603700
2023-12-20,375.00 ,376.03 ,370.53 ,370.62 ,369.2698364,26316700
2023-12-21,372.56 ,374.41 ,370.04 ,373.54 ,372.1792297,17708000
2023-12-22,373.68 ,375.18 ,372.71 ,374.58 ,373.2153931,17091100
2023-12-26,375.00 ,376.94 ,373.50 ,374.66 ,373.2951355,12673100
2023-12-27,373.69 ,375.06 ,372.81 ,374.07 ,372.7072754,14905400
2023-12-28,375.37 ,376.46 ,374.16 ,375.28 ,373.9128418,14327000
2023-12-29,376.00 ,377.16 ,373.48 ,376.04 ,374.6700745,18723000
2024-01-02,373.86 ,375.90 ,366.77 ,370.87 ,369.5189209,25258600
2024-01-03,369.01 ,373.26 ,368.51 ,370.60 ,369.2499084,23083500
2024-01-04,370.67 ,373.10 ,367.17 ,367.94 ,366.5995789,20901500
2024-01-05,368.97 ,372.06 ,366.50 ,367.75 ,366.4103088,20987000
2024-01-08,369.30 ,375.20 ,369.01 ,374.69 ,373.3250122,23134000
2024-01-09,372.01 ,375.99 ,371.19 ,375.79 ,374.4210205,20830000
2024-01-10,376.37 ,384.17 ,376.32 ,382.77 ,381.3755493,25514200
2024-01-11,386.00 ,390.68 ,380.38 ,384.63 ,383.2287903,27850800
2024-01-12,385.49 ,388.68 ,384.65 ,388.47 ,387.0548096,21645700
2024-01-16,393.66 ,394.03 ,387.62 ,390.27 ,388.8482361,27202300
2024-01-17,387.98 ,390.11 ,384.81 ,389.47 ,388.0511475,22234100
2024-01-18,391.72 ,393.99 ,390.12 ,393.87 ,392.4351196,23392100
2024-01-19,395.76 ,398.67 ,393.50 ,398.67 ,397.2176819,29272000
2024-01-22,400.02 ,400.62 ,393.59 ,396.51 ,395.0655212,27016900
2024-01-23,395.75 ,399.38 ,393.93 ,398.90 ,397.4468079,20525900
2024-01-24,401.54 ,405.63 ,400.45 ,402.56 ,401.0934753,24867000
2024-01-25,404.32 ,407.01 ,402.53 ,404.87 ,403.3950806,21021200
2024-01-26,404.37 ,406.17 ,402.43 ,403.93 ,402.4584961,17803300
2024-01-29,406.06 ,409.98 ,404.33 ,409.72 ,408.2273865,24510200
2024-01-30,412.26 ,413.05 ,406.45 ,408.59 ,407.1015015,33477600
2024-01-31,406.96 ,415.32 ,397.21 ,397.58 ,396.1316223,47871100
2024-02-01,401.83 ,408.00 ,401.80 ,403.78 ,402.3090515,30657700
2024-02-02,403.81 ,412.65 ,403.56 ,411.22 ,409.7219543,28245000
2024-02-05,409.90 ,411.16 ,403.99 ,405.65 ,404.1722412,25352300
2024-02-06,405.88 ,407.97 ,402.91 ,405.49 ,404.0127869,18382600
2024-02-07,407.44 ,414.30 ,407.40 ,414.05 ,412.5415955,22340500
2024-02-08,414.05 ,415.56 ,412.53 ,414.11 ,412.6013794,21225300
2024-02-09,415.25 ,420.82 ,415.09 ,420.55 ,419.0179138,22032800
2024-02-12,420.56 ,420.74 ,414.75 ,415.26 ,413.7472229,21202900
2024-02-13,404.94 ,410.07 ,403.39 ,406.32 ,404.8397827,27824900
2024-02-14,408.07 ,409.84 ,404.57 ,409.49 ,408.7527161,20401200
2024-02-15,408.14 ,409.13 ,404.29 ,406.56 ,405.8280029,21825500
2024-02-16,407.96 ,408.29 ,403.44 ,404.06 ,403.332489,22281100
2024-02-20,403.24 ,404.49 ,398.01 ,402.79 ,402.0647888,24307900
2024-02-21,400.17 ,402.29 ,397.22 ,402.18 ,401.4558716,18631100
2024-02-22,410.19 ,412.83 ,408.57 ,411.65 ,410.9088135,27009900
2024-02-23,415.67 ,415.86 ,408.97 ,410.34 ,409.6011963,16295900
2024-02-26,411.46 ,412.16 ,407.36 ,407.54 ,406.8062439,16193500
2024-02-27,407.99 ,408.32 ,403.85 ,407.48 ,406.7463379,14835800
2024-02-28,408.18 ,409.30 ,405.32 ,407.72 ,406.9859009,13183100
2024-02-29,408.64 ,414.20 ,405.92 ,413.64 ,412.8952637,31947300
2024-03-01,411.27 ,415.87 ,410.88 ,415.50 ,414.7518921,17800300
2024-03-04,413.44 ,417.35 ,412.32 ,414.92 ,414.1729736,17596000
2024-03-05,413.96 ,414.25 ,400.64 ,402.65 ,401.9250183,26919200
2024-03-06,402.97 ,405.16 ,398.39 ,402.09 ,401.3660278,22344100
2024-03-07,406.12 ,409.78 ,402.24 ,409.14 ,408.4033813,18718500
2024-03-08,407.96 ,410.42 ,404.33 ,406.22 ,405.4886169,17971700
2024-03-11,403.76 ,405.68 ,401.26 ,404.52 ,403.7916565,16120800
2024-03-12,407.62 ,415.57 ,406.79 ,415.28 ,414.5322876,22457000
2024-03-13,418.10 ,418.18 ,411.45 ,415.10 ,414.3526306,17115900
2024-03-14,420.24 ,427.82 ,417.99 ,425.22 ,424.4544067,34157300
2024-03-15,419.29 ,422.60 ,412.79 ,416.42 ,415.6702576,45049800
2024-03-18,414.25 ,420.73 ,413.78 ,417.32 ,416.568634,20106000
2024-03-19,417.83 ,421.67 ,415.55 ,421.41 ,420.6512756,19837900
2024-03-20,422.00 ,425.96 ,420.66 ,425.23 ,424.464386,17860100
2024-03-21,429.83 ,430.82 ,427.16 ,429.37 ,428.5969238,21296200
2024-03-22,429.70 ,429.86 ,426.07 ,428.74 ,427.9680481,17636500
2024-03-25,425.24 ,427.41 ,421.61 ,422.86 ,422.0986328,18060500
2024-03-26,425.61 ,425.99 ,421.35 ,421.65 ,420.8908081,16725600
2024-03-27,424.44 ,424.45 ,419.01 ,421.43 ,420.6712036,16705000
2024-03-28,420.96 ,421.87 ,419.12 ,420.72 ,419.9624939,21871200
2024-04-01,423.95 ,427.89 ,422.22 ,424.57 ,423.8055725,16316000
2024-04-02,420.11 ,422.38 ,417.84 ,421.44 ,420.6812134,17912000
2024-04-03,419.73 ,423.26 ,419.09 ,420.45 ,419.6929932,16502300
2024-04-04,424.99 ,428.67 ,417.57 ,417.88 ,417.1276245,19370900
2024-04-05,420.01 ,426.51 ,418.32 ,425.52 ,424.7538452,16544300
2024-04-08,425.17 ,427.28 ,423.30 ,424.59 ,423.825531,14272400
2024-04-09,426.44 ,427.74 ,421.62 ,426.28 ,425.5124817,12512300
2024-04-10,422.19 ,424.03 ,419.70 ,423.26 ,422.4979248,16216600
2024-04-11,425.82 ,429.37 ,422.36 ,427.93 ,427.1595154,17966400
2024-04-12,424.05 ,425.18 ,419.77 ,421.90 ,421.1403809,19232100
2024-04-15,426.60 ,426.82 ,413.43 ,413.64 ,412.8952637,20273500
2024-04-16,414.57 ,418.40 ,413.73 ,414.58 ,413.8335571,16765600
2024-04-17,417.25 ,418.88 ,410.33 ,411.84 ,411.0984802,15855500
2024-04-18,410.63 ,411.89 ,403.95 ,404.27 ,403.5421143,21029900
2024-04-19,404.03 ,405.48 ,397.77 ,399.12 ,398.4013977,30276500
2024-04-22,400.08 ,402.85 ,395.75 ,400.96 ,400.2380676,20286900
2024-04-23,404.24 ,408.20 ,403.06 ,407.57 ,406.8361816,15734500
2024-04-24,409.56 ,412.47 ,406.78 ,409.06 ,408.3234863,15065300
2024-04-25,394.03 ,399.89 ,388.03 ,399.04 ,398.3215332,40586500
2024-04-26,412.17 ,413.00 ,405.76 ,406.32 ,405.5884399,29694700
2024-04-29,405.25 ,406.32 ,399.19 ,402.25 ,401.5257568,19582100
2024-04-30,401.49 ,402.16 ,389.17 ,389.33 ,388.6289978,28781400
2024-05-01,392.61 ,401.72 ,390.31 ,394.94 ,394.2289124,23562500
2024-05-02,397.66 ,399.93 ,394.65 ,397.84 ,397.1236877,17709400
2024-05-03,402.28 ,407.15 ,401.86 ,406.66 ,405.9278259,17446700
2024-05-06,408.76 ,413.93 ,406.37 ,413.54 ,412.7954407,16996600
